09/07/21 18:40:18:173 | [INFO] |  | ExtensibilityLibrary | CustomHook |  |  |  | 730004 | 0 | EventProcessor thread started
09/07/21 18:40:18:173 | [INFO] |  | ExtensibilityLibrary | CustomHook |  |  |  | 730004 | 0 | Deque at max 10000 events.
09/07/21 18:40:18:173 | [INFO] |  | ExtensibilityLibrary | CustomHook |  |  |  | 730004 | 0 | Dropping 0 events.
09/07/21 18:40:18:173 | [INFO] |  | ExtensibilityLibrary | CustomHook |  |  |  | 729730 | 0 | enqueued 1 event.
09/07/21 18:40:18:173 | [ERROR] |  | ExtensibilityLibrary | CustomHook |  |  |  | 730004 | 0 | Running on emulator.
09/07/21 18:40:18:173 | [INFO] |  | ExtensibilityLibrary | CustomHook |  |  |  | 730004 | 0 | Dequeued 1 events.
09/07/21 18:40:18:173 | [INFO] |  | ExtensibilityLibrary | CustomHook |  |  |  | 730004 | 0 | Dequeued 0 anonymous events.
09/07/21 18:40:18:173 | [INFO] |  | ExtensibilityLibrary | CustomHook |  |  |  | 730004 | 0 | dispatch analytics data
09/07/21 18:40:18:173 | [INFO] |  | ExtensibilityLibrary | CustomHook |  |  |  | 730004 | 0 | dispatch:body: 786 bytes (1) events
09/07/21 18:40:18:173 | [INFO] |  | ExtensibilityLibrary | CustomHook |  |  |  | 730004 | 0 | createAndSendHTTPRequest:URL: https://cc-api-data.adobe.io/ingest
09/07/21 18:40:18:210 | [INFO] |  | ExtensibilityLibrary | CustomHook |  |  |  | 729730 | 0 | enqueued 1 event.
09/07/21 18:40:18:210 | [INFO] |  | ExtensibilityLibrary | CustomHook |  |  |  | 729730 | 0 | enqueued 1 event.
09/07/21 18:40:18:211 | [INFO] |  | ExtensibilityLibrary | CustomHook |  |  |  | 729730 | 0 | enqueued 1 event.
09/07/21 18:40:18:211 | [INFO] |  | ExtensibilityLibrary | CustomHook |  |  |  | 729730 | 0 | enqueued 1 event.
09/07/21 18:40:18:211 | [INFO] |  | ExtensibilityLibrary | CustomHook |  |  |  | 729730 | 0 | enqueued 1 event.
09/07/21 18:40:18:211 | [INFO] |  | ExtensibilityLibrary | CustomHook |  |  |  | 729730 | 0 | enqueued 1 event.
09/07/21 18:40:18:253 | [INFO] |  | ExtensibilityLibrary | CustomHook |  |  |  | 729730 | 0 | enqueued 1 event.
09/07/21 18:40:18:262 | [INFO] |  | ExtensibilityLibrary | CustomHook |  |  |  | 729730 | 0 | enqueued 1 event.
09/07/21 18:40:18:262 | [INFO] |  | ExtensibilityLibrary | CustomHook |  |  |  | 729730 | 0 | enqueued 1 event.
09/07/21 18:40:18:263 | [INFO] |  | ExtensibilityLibrary | CustomHook |  |  |  | 729730 | 0 | enqueued 1 event.
09/07/21 18:40:18:263 | [INFO] |  | ExtensibilityLibrary | CustomHook |  |  |  | 729730 | 0 | enqueued 1 event.
09/07/21 18:40:18:263 | [INFO] |  | ExtensibilityLibrary | CustomHook |  |  |  | 729730 | 0 | enqueued 1 event.
09/07/21 18:40:18:263 | [INFO] |  | ExtensibilityLibrary | CustomHook |  |  |  | 729730 | 0 | enqueued 1 event.
09/07/21 18:40:18:264 | [INFO] |  | ExtensibilityLibrary | CustomHook |  |  |  | 729730 | 0 | enqueued 1 event.
09/07/21 18:40:19:105 | [INFO] |  | ExtensibilityLibrary | CustomHook |  |  |  | 730004 | 0 | createAndSendHTTPRequest:Response Code: 200
09/07/21 18:40:19:106 | [INFO] |  | ExtensibilityLibrary | CustomHook |  |  |  | 730004 | 0 | createAndSendHTTPRequest:Response Headers: {
09/07/21 18:40:19:106 | [INFO] |  | ExtensibilityLibrary | CustomHook |  |  |  | 730004 | 0 |   "Connection" = "keep-alive"
09/07/21 18:40:19:106 | [INFO] |  | ExtensibilityLibrary | CustomHook |  |  |  | 730004 | 0 |   "Content-Length" = "0"
09/07/21 18:40:19:106 | [INFO] |  | ExtensibilityLibrary | CustomHook |  |  |  | 730004 | 0 |   "Date" = "Tue, 07 Sep 2021 13:10:19 GMT"
09/07/21 18:40:19:106 | [INFO] |  | ExtensibilityLibrary | CustomHook |  |  |  | 730004 | 0 |   "Server" = "openresty"
09/07/21 18:40:19:106 | [INFO] |  | ExtensibilityLibrary | CustomHook |  |  |  | 730004 | 0 |   "x-gw-aws-region" = "an1"
09/07/21 18:40:19:106 | [INFO] |  | ExtensibilityLibrary | CustomHook |  |  |  | 730004 | 0 |   "x-request-id" = "3e8TACqo0u3Z0erDXtNSDVKgGwgV9mUo"
09/07/21 18:40:19:106 | [INFO] |  | ExtensibilityLibrary | CustomHook |  |  |  | 730004 | 0 | }
09/07/21 18:40:19:106 | [INFO] |  | ExtensibilityLibrary | CustomHook |  |  |  | 730004 | 0 | dispatchAnonymous analytics data
09/07/21 18:40:19:106 | [INFO] |  | ExtensibilityLibrary | CustomHook |  |  |  | 730004 | 0 | EventProcessor should quit now
09/07/21 18:40:19:106 | [INFO] |  | ExtensibilityLibrary | CustomHook |  |  |  | 730004 | 0 | Deque at max 10000 events.
09/07/21 18:40:19:106 | [INFO] |  | ExtensibilityLibrary | CustomHook |  |  |  | 730004 | 0 | Dropping 0 events.
09/07/21 18:40:19:106 | [ERROR] |  | ExtensibilityLibrary | CustomHook |  |  |  | 730004 | 0 | Running on emulator.
09/07/21 18:40:19:106 | [ERROR] |  | ExtensibilityLibrary | CustomHook |  |  |  | 730004 | 0 | Running on emulator.
09/07/21 18:40:19:106 | [ERROR] |  | ExtensibilityLibrary | CustomHook |  |  |  | 730004 | 0 | Running on emulator.
09/07/21 18:40:19:106 | [ERROR] |  | ExtensibilityLibrary | CustomHook |  |  |  | 730004 | 0 | Running on emulator.
09/07/21 18:40:19:106 | [ERROR] |  | ExtensibilityLibrary | CustomHook |  |  |  | 730004 | 0 | Running on emulator.
09/07/21 18:40:19:107 | [ERROR] |  | ExtensibilityLibrary | CustomHook |  |  |  | 730004 | 0 | Running on emulator.
